,Train Time (s),Eval Time (s),RMSE,MAE,MAP@10,NDCG@10,Precision@10,Recall@10
Item-Based CF,1.1639769077301025,0.32386088371276855,0.8675119770590076,0.6683522513106115,0.017889016382992284,0.03554951746458782,0.03734939759036145,0.010771166228585032
Matrix Factorization,230.15438389778137,261.2416658401489,0.9131166410770678,0.7115600513037063,0.027631159558870404,0.07464418002800137,0.07991967871485943,0.023465051812886543
Neural CF (NCF),95.53736782073975,373.78123116493225,0.8213260053427351,0.6346751269777271,0.16274941033977178,0.2840355921471403,0.25863453815261045,0.07897969996177687
